City,AQI,PM2.5,PM10,NO2,CO,SO2,O3,Temperature (°C),Humidity (%),Wind Speed (km/h),Rainfall (mm),Pressure (hPa),Vehicle Count,Industrial Activity Index,Health Impact Score
Bangalore,118,62.3989,92.2738,38.426,3.3925,8.695,43.681,10.707,64.5953,15.1957,0.0,1013.3227,434068,2.3522,53
Pune,88,52.5306,86.2396,26.3372,1.165,15.4697,62.0655,21.3901,47.5272,7.8303,0.0,1006.867,70641,3.6894,33
Thane,128,68.2435,109.6236,31.1354,1.3051,26.6687,55.4304,28.7406,44.5702,12.1838,0.0,1010.9385,58408,8.7431,58
Nagpur,87,42.0027,86.7047,21.1451,1.0008,13.4512,27.8432,10.9065,50.5708,12.7746,0.0,1011.8802,53439,4.528,29
Chennai,99,37.6803,67.714,25.534,1.9611,8.1218,34.4274,34.9167,75.1439,22.6469,0.0,1007.4325,286681,3.7921,35
Bhopal,57,28.8063,59.4432,20.0131,1.0689,8.4037,41.6579,21.6432,52.2811,12.7457,0.0,1014.0203,94812,2.5979,17
Ludhiana,134,70.5265,134.8411,40.4562,1.4701,29.697,87.4255,34.1963,35.9732,8.5694,0.0,1007.9614,70496,7.7732,61
Delhi,182,85.1013,155.2732,47.4969,3.4425,19.2836,88.9958,44.3681,24.7053,11.7984,0.0,1008.2683,339046,6.2262,83
Srinagar,140,72.3081,95.6443,38.1128,1.9131,18.8196,78.844,10.6747,72.7718,3.8904,0.0,859.5668,96231,3.2556,69
Mumbai,88,26.9366,20.2492,24.7723,1.7555,10.8509,40.1723,32.6703,72.7136,21.4391,18.1207,1013.2829,255294,4.5328,27
Mumbai,121,66.2048,76.4913,36.1397,2.7104,10.1216,40.1054,29.2645,74.5608,22.1801,0.0,1012.4685,432307,5.0562,57
Meerut,83,48.6245,70.0923,25.0817,1.3255,13.3812,37.4739,10.4152,54.9399,10.2381,0.0,1015.366,92568,3.4022,29
Mumbai,112,63.7455,100.7301,38.931,2.7644,16.5668,48.4437,30.4852,77.023,15.8863,0.0,1010.7578,324965,6.5866,53
Nagpur,73,42.8165,71.8818,23.9078,0.8697,14.7591,64.7651,38.7132,32.0727,10.1133,0.0,1009.2331,62185,4.2573,22
Nagpur,61,27.1722,43.8349,16.7817,1.1751,4.9759,45.0241,21.6603,52.5647,8.406,2.2054,1010.2996,86732,0.9336,16
Surat,87,50.6808,88.1751,26.2517,1.0352,18.0198,40.7516,30.6612,74.4648,17.7991,0.0,1010.3464,89007,7.5644,35
Hyderabad,123,21.5974,26.3025,51.4018,3.7827,16.7414,96.6223,34.8396,38.5169,9.9224,27.9284,1010.9993,349868,4.9586,37
Ahmedabad,109,59.9313,111.9572,28.6162,1.5329,22.7625,82.2065,42.2281,20.2113,8.3503,0.0,1008.5972,68362,5.637,42
Bangalore,200,90.3339,149.5324,50.9265,3.7244,20.4706,71.4908,11.3104,60.7638,8.8025,0.0,1010.82,315135,5.4165,90
Delhi,138,71.0222,130.4529,45.524,3.3763,10.263,54.3872,11.5635,55.0384,13.428,0.0,1014.2683,420128,3.5189,64
Varanasi,134,70.0312,102.6004,33.2118,1.7003,20.1169,74.5105,27.4266,40.8704,7.8332,0.0,1012.1981,103280,5.0,61
Mumbai,91,51.9716,92.2218,25.4414,1.5022,14.4284,53.0528,27.2437,85.6797,10.123,0.0,1010.6688,100061,4.0168,39
Chennai,103,18.9752,6.8304,33.9484,2.1438,14.7051,43.4681,34.2971,70.8599,17.2585,32.5463,1011.1431,268370,5.2137,31
Chennai,104,54.1759,97.6488,33.4404,2.1526,9.9609,36.4995,24.5634,79.1052,21.485,0.0,1009.8139,337739,5.1714,44
Agra,113,63.8219,96.6667,34.5799,1.628,18.6449,75.6362,28.9617,38.5106,8.2248,0.0,1003.5033,97459,4.6078,48
Ahmedabad,73,32.6237,23.2842,38.412,1.4531,28.079,57.4047,28.5056,40.1507,12.6936,20.66,1011.4261,78880,9.2015,21
Rajkot,103,54.4183,105.6763,23.4661,1.9322,14.4175,41.2676,15.6497,54.2142,8.9066,0.0,1009.2518,122258,3.5268,42
Jaipur,80,47.4998,78.2003,23.1978,1.3081,11.6443,59.7741,33.1781,32.8891,10.36,0.0,1008.0294,103918,3.2831,26
Hyderabad,140,71.7188,100.8582,34.6158,2.4801,16.1429,67.638,35.4446,32.7118,12.586,0.0,1011.1382,245971,4.9718,63
Chennai,84,50.4303,86.3745,24.1522,1.6815,9.2999,34.605,25.991,84.0888,17.7249,0.0,1009.3945,212584,4.6211,36
Rajkot,65,38.6318,58.3458,18.8105,1.1967,8.4609,34.2209,25.9287,42.4466,13.0672,0.0,1009.8385,80528,2.9838,20
Chennai,104,33.3855,59.6669,35.3969,2.4458,12.3003,52.659,30.7613,85.8726,14.6195,10.512,1013.4487,283565,4.7931,39
Bangalore,253,105.2287,184.2923,61.5708,4.3657,23.4818,134.1329,39.6212,35.1342,6.6038,0.0,1012.0504,341016,5.436,96
Delhi,141,71.1872,121.9455,40.9958,2.7096,17.3638,78.5147,45.0304,30.2028,12.9083,0.0,1006.0516,276293,5.7738,62
Kolkata,102,55.267,95.2988,35.3548,2.128,15.3337,44.9543,31.9189,38.676,17.4054,0.0,1011.9229,259288,5.9751,40
Jaipur,84,50.1226,81.4454,24.8645,1.0171,16.6283,67.3926,28.5387,43.7957,7.1165,0.0,1009.4711,32734,4.1962,30
Jaipur,71,36.8526,58.7934,19.0628,1.3675,7.8637,73.4899,49.564,26.1847,9.2564,0.0,1006.0457,96475,2.0146,21
Ludhiana,100,58.3126,100.4025,30.1393,1.6857,20.3699,67.3216,41.7477,33.3548,11.3771,0.0,1010.9058,113083,6.1636,39
Indore,86,51.7256,77.0169,25.9419,1.2975,11.432,69.8687,34.0711,41.6574,8.6905,0.0,1011.4977,95266,2.5428,31
Ahmedabad,119,65.1626,119.161,31.525,1.413,23.8496,54.5334,16.5407,54.3518,11.2921,0.0,1009.8571,63412,7.3934,53
Indore,58,32.9152,57.1203,19.6021,1.0117,10.5556,47.2457,28.7242,38.5381,12.3605,0.0,1007.2267,73693,2.9238,16
Ahmedabad,146,74.761,114.7085,41.0802,1.6616,27.5391,70.5127,29.3566,43.3304,11.1537,0.0,1012.1199,93133,8.3367,70
Meerut,53,24.9139,53.5359,10.8242,0.8615,6.2132,12.8143,8.1957,62.7938,16.2533,0.0,1009.9469,79418,1.5777,15
Agra,53,22.4948,39.6686,18.8195,1.051,4.6798,25.0434,12.7648,51.1635,14.7979,2.2005,1008.3311,106350,1.4257,14
Mumbai,106,59.3871,72.4763,38.2487,2.466,13.5827,43.6391,27.9249,82.4594,19.3566,4.122,1008.1182,366043,6.088,49
Nagpur,81,43.3078,81.9238,21.2307,1.2835,13.307,67.6392,33.8546,35.2404,8.297,0.0,1010.1025,56522,3.6044,26
Nashik,144,73.5854,122.8285,35.4035,1.3304,27.3299,66.7272,24.4546,43.1076,10.4335,0.0,1009.9696,65861,8.3623,68
Bhopal,110,63.2526,109.1002,33.5999,2.1076,19.3111,89.0703,28.6752,46.1399,5.7319,0.0,1010.1491,111364,3.8407,48
Thane,177,82.6438,160.8875,41.3391,1.7845,31.697,101.8896,39.3277,20.5076,7.4201,0.0,1011.1259,70087,7.8733,80
Delhi,270,111.4842,180.9484,59.2054,3.6104,26.8226,106.7996,25.6844,54.8331,7.3286,0.0,1012.666,256154,6.7339,98
Meerut,119,65.7107,95.207,30.2559,1.3453,17.3605,74.4958,22.9612,43.9744,6.2495,0.0,1013.316,71876,3.8603,53
Hyderabad,121,66.9895,113.7284,40.3108,2.6482,13.7336,65.1313,20.6035,51.4537,9.8469,0.0,1013.015,231868,3.7819,56
Nashik,144,73.5501,131.7205,35.7859,1.522,28.0698,51.4175,11.9076,51.7045,10.8746,0.0,1011.8812,69685,8.6273,69
Ahmedabad,130,68.6842,109.8239,29.8419,1.2923,23.3203,61.3549,33.8271,37.7561,13.0537,0.0,1009.0213,82991,7.7877,58
Bangalore,252,104.8411,160.4461,62.2131,4.7989,16.8032,98.9512,37.7389,33.8199,11.017,0.0,1009.7297,499278,5.0588,96
Vadodara,253,106.1387,174.0705,50.2566,1.9935,37.3674,104.9767,29.4449,38.481,6.2089,0.0,1011.4472,79615,8.6295,97
Lucknow,84,48.3012,83.1559,26.9466,1.3663,14.7397,44.2075,13.9602,55.6011,10.8254,0.0,1014.4564,86752,4.0224,30
Jaipur,64,30.7255,65.2302,18.948,1.0628,13.284,35.4241,22.1326,37.8381,15.404,3.9204,1009.9924,66466,4.4211,18
Rajkot,74,37.0982,74.3546,18.1311,0.959,11.3405,43.4306,26.6319,48.1036,10.7068,0.0,1008.9133,48957,3.1096,23
Delhi,210,92.9149,159.8228,57.5863,4.076,17.7657,79.7072,24.2787,45.6175,11.935,0.0,1011.5417,423231,6.0317,91
Varanasi,81,48.3949,84.057,27.054,1.4389,16.5561,55.3642,21.9534,36.5478,8.7413,0.0,1008.4027,79348,4.088,29
Indore,72,44.8015,67.25,21.5142,1.0348,14.0241,45.9551,33.6796,46.0217,14.2123,0.0,1012.2638,67669,4.8679,25
Nashik,143,73.4023,126.5153,32.4254,1.623,26.8761,53.6359,26.6896,46.8477,11.4725,0.0,1008.3277,96646,7.8412,68
Kolkata,225,97.2071,154.7891,48.1266,3.2927,21.8579,78.0298,24.1748,45.9702,9.8836,0.0,1011.0055,288275,5.9167,94
Thane,131,69.8273,122.6159,35.3074,1.5144,27.05,69.9074,27.1373,42.1874,8.8127,0.0,1010.5733,77865,7.0682,60
Bhopal,68,35.259,68.0565,27.3637,1.2249,13.1697,57.454,24.2244,54.6072,9.3177,7.5075,1007.4506,85737,3.5915,21
Thane,198,89.6787,172.1634,48.5906,1.8652,38.6896,94.5759,26.2353,47.7551,7.0091,0.0,1010.8862,69891,9.2125,89
Pune,71,41.9997,55.7067,22.8912,1.2553,9.5219,55.0445,30.5789,28.5021,11.5265,0.0,1011.0351,96903,2.3707,21
Indore,68,42.532,64.4976,23.1008,1.3095,8.2474,63.9927,38.3363,29.2072,9.5761,0.0,1012.9115,103081,2.2985,21
Varanasi,104,53.892,107.5408,29.2598,1.6014,17.3233,64.6017,19.509,59.5282,5.9235,0.0,1010.4707,89366,3.6622,43
Indore,55,33.4447,32.9545,22.8432,1.1639,12.7455,44.6323,15.2652,50.1065,8.1265,12.8185,1010.7252,63839,3.0764,17
Hyderabad,303,121.3671,188.7191,65.4173,4.9337,26.1468,105.6158,20.2157,48.5274,8.0411,0.0,1010.03,405084,6.4935,99
Lucknow,73,40.4873,70.4128,18.837,1.1435,11.2812,53.1724,33.1265,45.034,11.4841,0.0,1009.0666,70292,3.8929,22
Ludhiana,96,58.4655,88.235,29.4434,1.4954,21.4153,56.2114,21.9744,41.6183,9.9341,0.0,1006.7877,86567,5.7436,38
Varanasi,64,36.8105,61.1746,18.7796,0.9941,9.4666,20.6576,2.0056,61.2651,10.5723,0.0,1012.5497,77109,2.3771,20
Kolkata,284,115.6,200.6316,69.2456,5.5579,16.9594,102.6107,15.3867,56.4827,7.7416,0.0,1010.151,492042,4.0366,99
Srinagar,103,52.262,102.3431,28.6806,1.3708,17.6386,59.9029,17.0993,65.9813,5.8515,0.0,866.8455,57481,3.438,42
Nagpur,74,44.6646,52.0255,22.7757,0.9529,11.713,42.4006,21.456,58.242,12.9069,0.0,1012.5385,88654,3.8482,26
Lucknow,91,53.3814,91.8223,28.4735,1.139,19.4482,47.4306,14.9181,50.8145,9.6494,0.0,1013.5966,65567,5.1728,35
Nashik,141,72.0176,142.9531,35.7798,1.9646,25.737,59.4054,18.6766,36.6241,9.1891,0.0,1008.9142,108660,7.4363,64
Pune,68,29.3616,50.6349,14.8481,1.3311,3.0793,36.4219,25.5677,40.3886,11.0211,0.0,1013.6677,99117,0.6761,18
Srinagar,99,59.4841,96.6806,30.5721,1.9646,13.8988,43.3264,2.6106,80.2549,6.3649,0.0,862.211,113964,3.0214,44
Mumbai,216,95.3751,152.2902,59.7203,4.7321,17.6127,74.0052,27.8156,73.329,12.6228,0.0,1011.2408,508211,5.7243,94
Indore,82,48.2932,76.5894,24.1115,1.1529,11.6484,42.1758,22.7783,57.4532,11.3084,0.0,1007.6663,72053,3.6595,30
Lucknow,93,55.7799,72.8719,35.0634,1.7227,13.4523,83.0645,31.3116,36.0175,6.3991,0.0,1013.7939,111833,2.8416,35
Hyderabad,308,128.0597,210.5128,76.3986,5.541,24.4932,138.7554,20.5237,50.8212,5.85,0.0,1013.6465,398649,5.4561,99
Rajkot,37,14.182,35.7265,12.7001,0.7314,6.1751,26.534,22.9762,49.7156,16.5344,0.0,1013.0201,57992,1.8329,9
Surat,67,38.3894,67.5771,21.7088,0.9708,15.7908,30.2978,31.5375,73.3014,17.1464,0.0,1011.783,57887,6.0863,23
Agra,51,28.1599,50.4972,19.9344,0.8613,7.7114,27.4576,5.5145,68.3019,11.6911,0.0,1011.6638,80317,2.657,15
Jaipur,91,54.262,71.0626,25.2208,1.4894,13.2765,43.7189,13.6014,51.0645,9.434,0.0,1010.9562,88445,3.8849,35
Ludhiana,87,53.5497,63.8482,28.3468,1.1992,23.0548,38.5283,16.5767,54.2792,12.5485,13.0547,1010.2977,60988,7.699,34
Rajkot,62,37.9817,59.1184,17.1744,1.026,9.7569,36.4344,21.4943,45.7456,10.695,0.0,1009.817,71602,2.5557,19
Hyderabad,259,108.1467,186.0215,57.2307,4.3609,21.8088,87.3398,19.7934,41.7217,9.6733,0.0,1009.5619,398950,6.3116,97
Thane,117,64.7252,120.0167,31.8537,1.5482,24.5218,67.2532,20.8726,45.5629,7.5028,0.0,1008.6706,57665,6.1043,51
Indore,110,60.6583,116.52,31.1043,1.8782,20.1335,56.804,19.2397,52.8191,7.7869,0.0,1014.3724,87673,5.3714,48
Indore,69,12.3901,18.5189,26.4241,1.2703,13.2707,47.8725,16.1961,51.0627,10.7502,21.9908,1010.7309,93035,3.6974,14
Ahmedabad,108,62.5891,107.6966,27.9978,1.5401,20.5829,59.9806,27.4745,45.1891,10.9277,0.0,1011.0422,90632,6.4532,47
Ludhiana,108,58.9952,110.6301,30.5547,1.0734,23.9263,49.4678,34.4968,53.2519,14.8638,0.0,1014.2832,50442,9.1249,45
Jaipur,69,39.2027,70.4139,20.4388,1.1874,10.3333,56.0315,26.2288,40.3771,8.2159,0.0,1009.9506,61898,2.4055,22
Rajkot,90,50.1569,88.428,28.4263,1.3285,15.4493,70.865,30.4449,34.8287,7.6922,0.0,1011.8651,65633,3.8791,31
Lucknow,55,17.0597,21.4913,23.3826,1.1227,13.8786,51.8096,21.686,51.0584,7.909,18.3654,1010.4063,63103,2.7197,14
Bhopal,97,42.8211,96.7361,21.4455,1.1449,14.3708,56.287,32.9274,41.0108,9.4723,0.0,1006.6394,73467,3.9898,33
Bhopal,96,57.9195,94.2667,27.0682,1.4937,14.5914,63.1257,23.0935,49.4634,7.2941,0.0,1010.0055,91508,3.4817,39
Bhopal,65,39.2155,52.8264,18.4115,0.9997,9.2936,41.6285,16.312,52.9676,9.1349,0.0,1008.5567,61032,2.3208,21
Bangalore,274,111.871,191.0501,56.3917,3.9807,26.6051,91.4017,15.4846,60.9408,6.8171,0.0,1006.9188,280342,6.1948,98
Thane,197,89.9063,128.747,42.3914,1.9873,31.8443,81.2487,18.035,57.2644,6.1839,0.0,1011.6392,83565,7.2129,89
Surat,118,64.2325,107.6419,27.4812,1.4365,23.2101,48.016,26.1311,74.7257,12.145,0.0,1008.9011,74954,7.553,53
Rajkot,103,48.7648,101.932,30.5421,1.5331,15.7224,81.4298,37.578,29.2536,8.132,0.0,1011.844,89906,3.841,36
Delhi,247,103.2818,165.4662,56.6966,4.1967,20.9921,91.291,25.1442,50.086,9.9901,0.0,1008.5844,399264,6.0012,96
Varanasi,108,56.6241,110.2069,29.625,1.3977,17.5122,93.2191,42.3008,29.4969,6.745,0.0,1005.8625,68683,3.8496,42
Kolkata,112,49.0916,50.7005,38.6956,2.8479,13.6698,60.2532,24.6115,41.4509,11.1535,12.981,1014.6738,288684,3.5784,42
Bangalore,202,90.5627,143.2162,52.6458,4.2136,11.6729,88.5292,33.8323,34.6334,12.0161,0.0,1006.7935,492521,3.5747,89
Pune,87,52.8313,81.2944,25.1176,1.3797,17.6851,59.6242,28.1115,43.5453,8.4095,0.0,1009.482,77563,4.017,33
Ludhiana,73,33.1783,7.6659,40.0134,1.4338,37.0848,74.0686,23.0246,48.2868,8.467,23.5956,1008.8763,59391,9.4459,22
Surat,73,44.5284,69.6961,19.33,1.0282,17.9859,28.9859,30.5122,77.4658,18.9602,0.0,1010.1696,56483,7.6782,28
Rajkot,82,48.6637,76.4898,27.749,1.3209,15.3673,54.4793,25.6819,43.4861,9.2243,0.0,1007.9873,82696,3.9291,28
Lucknow,60,37.0031,60.0455,18.9846,0.8793,13.5698,47.6766,30.1676,46.3749,12.9437,0.0,1007.5838,49026,4.5132,19
Lucknow,74,45.041,65.9031,23.8386,1.2956,15.9468,54.0329,34.752,36.8218,11.1179,4.0694,1007.9501,82157,4.9347,25
Jaipur,75,44.8186,58.8858,14.6692,0.7495,12.0515,38.7546,20.2356,52.9871,8.5234,0.0,1010.3598,41452,2.5854,26
Hyderabad,226,97.7706,152.1866,55.4263,4.1167,15.8755,72.1091,28.8077,44.3338,13.038,0.0,1009.8665,484757,5.6418,94
Meerut,59,31.8064,55.7832,21.8006,1.2213,11.5967,39.2831,19.708,54.1337,12.3114,0.0,1013.2356,95976,3.0511,18
Varanasi,75,41.3441,74.3499,23.6763,1.0032,14.4774,38.5982,23.9512,52.9948,16.1625,0.0,1014.0892,66872,6.1262,25
Meerut,84,49.2984,82.4031,28.598,1.3369,17.1264,57.7862,25.2408,41.3589,13.1175,0.0,1006.8661,100230,5.7305,29
Kolkata,162,78.2276,141.527,47.4058,3.4254,13.3372,59.5852,27.4324,45.0123,15.8132,0.0,1011.812,453410,5.1562,75
Mumbai,107,47.8534,88.6173,32.0638,2.2353,10.8127,47.8459,33.212,72.3567,18.2659,5.6975,1009.2521,322123,4.4206,42
Surat,56,34.2584,43.492,22.9984,1.0048,17.5091,39.4555,24.9409,78.6897,16.2572,8.5462,1014.5929,82638,6.803,19
Rajkot,105,55.8037,105.5063,28.2438,1.7029,17.0341,77.24,33.0596,34.612,7.7927,0.0,1010.3233,84276,3.9446,40
Srinagar,138,71.7625,121.6132,33.3437,1.5398,25.2829,60.5752,11.5078,69.7138,6.883,0.0,863.3854,65231,5.8802,67
Nagpur,98,59.1013,89.8756,25.9679,1.2208,15.8587,49.738,21.2075,46.5883,11.6475,0.0,1008.8696,75390,5.1341,40
Lucknow,91,54.0497,93.194,27.3258,1.2749,14.6484,62.1316,25.4802,47.4376,8.4984,0.0,1014.4239,89120,3.3937,36
Nagpur,63,29.5905,63.4848,19.1711,1.019,12.2945,39.4042,28.7308,36.5899,16.6641,0.0,1007.7965,82241,4.6002,17
Patna,65,39.0357,58.6593,22.2342,1.0353,11.8779,27.2294,14.7717,57.0713,14.4506,0.0,1013.2676,84241,4.0364,21
Rajkot,77,42.8527,65.1406,20.4304,1.4473,10.7941,56.0606,26.0513,39.6085,8.9693,0.0,1010.442,101751,2.3262,23
Meerut,67,37.9086,56.8373,20.0208,1.3672,8.9139,38.8253,25.5334,43.3014,14.2742,0.0,1014.8216,103565,3.109,21
Meerut,70,31.857,71.3071,15.9906,0.8103,10.2982,41.1418,23.7877,41.5206,12.868,0.0,1010.7354,34018,3.3148,20
Bangalore,242,102.5773,166.243,55.0031,3.1901,29.1142,88.1881,30.5449,42.5382,10.3033,0.0,1013.9,270125,8.682,96
Bangalore,123,66.0966,110.652,34.5213,2.4276,17.0143,45.8804,22.065,39.499,16.089,0.0,1012.6244,282685,6.1734,53
Indore,83,43.9519,80.2079,19.1301,1.1293,14.0093,56.6032,34.1276,36.83,9.717,0.0,1008.5476,62273,3.6347,26
Meerut,92,55.7615,91.9685,30.0219,1.3421,15.1582,67.1566,15.7165,60.1824,6.4345,0.0,1009.6752,68080,3.4656,38
Ahmedabad,118,65.4622,125.0142,36.2911,1.5443,23.2046,64.4162,27.1728,49.0357,12.4678,0.0,1009.6809,110393,7.8125,53
Meerut,65,34.7187,57.6139,25.5646,1.3366,12.1165,55.3676,29.9577,44.1545,11.2941,0.0,1011.4426,103301,3.1714,19
Rajkot,30,18.9196,30.0684,7.3426,0.5893,6.9911,24.7239,29.509,38.958,19.1829,0.0,1010.1806,60416,2.2028,8
Jaipur,82,48.9082,72.8577,17.4458,1.1192,11.2802,33.2223,25.9654,42.1996,14.4293,0.0,1012.4925,93769,4.1525,29
Ludhiana,81,33.7675,21.2976,34.8713,1.6837,30.7264,41.2234,7.3312,69.7284,11.622,21.4095,1012.0315,85826,9.6836,28
Ahmedabad,218,95.3601,157.4084,45.5445,1.9996,36.0261,74.8408,20.6356,47.876,8.6833,0.0,1008.5531,72684,10.0,93
Vadodara,177,82.8969,137.9254,40.853,1.9224,31.3955,57.2339,13.2584,61.6906,10.7532,0.0,1007.9165,113303,9.2286,83
Ahmedabad,149,73.745,112.2197,35.6452,1.5831,27.2261,66.0363,48.6474,27.259,12.7158,0.0,1006.5536,96180,8.7357,66
Lucknow,101,53.5749,101.4481,34.2102,1.6215,17.1096,74.4473,33.6275,33.9586,10.2248,0.0,1006.2271,98410,5.1015,38
Rajkot,100,58.0421,102.5533,31.879,1.5023,22.5298,93.4845,38.5325,35.854,6.3727,0.0,1008.3883,40480,5.4507,40
Varanasi,96,51.609,94.9177,26.3532,1.2616,16.4001,67.508,41.0949,28.7752,9.9951,0.0,1002.3378,76883,4.7441,34
Delhi,258,107.2152,173.6175,59.1045,4.3691,20.0179,100.2915,26.6509,42.7722,8.8327,0.0,1011.8608,389926,5.3259,97
Ahmedabad,118,65.5674,116.6752,30.9371,1.0666,29.4768,66.0507,28.3104,51.2415,9.218,0.0,1006.8593,34872,7.9043,53
Nashik,237,101.1523,157.4561,50.4411,2.0157,36.3428,107.6622,29.4513,39.2296,5.8506,0.0,1007.2327,85454,8.1724,95
Hyderabad,211,93.4656,156.9483,57.2494,3.563,22.1058,90.7278,16.6865,54.4132,7.6682,0.0,1011.5152,287761,5.2459,92
Bangalore,198,89.472,141.5025,40.8979,2.7,19.8943,69.2295,36.97,34.0949,14.4989,0.0,1007.804,327031,7.1075,88
Hyderabad,318,145.9173,242.8695,86.7112,7.2038,20.9269,143.8261,19.4877,47.3049,6.3963,0.0,1012.5619,577756,4.7723,100
Rajkot,56,27.5907,55.8612,15.007,0.8998,8.4367,40.1705,29.9944,37.6274,13.6967,0.0,1009.545,92162,2.8027,15
Kolkata,179,84.6717,148.2215,46.1404,3.5955,17.3243,65.7206,11.322,61.7813,7.7284,0.0,1011.5861,292436,4.1025,85
Indore,97,51.1704,98.5506,29.7201,1.3998,16.0769,65.8355,23.1585,58.0255,7.5418,0.0,1009.6152,78116,3.8901,39
Nagpur,86,49.9858,69.6296,19.403,1.5291,10.8748,38.0469,16.0302,54.4054,8.6602,0.0,1008.9741,106891,2.4812,31
Lucknow,79,41.7563,77.1527,16.2055,1.3161,8.8094,42.0854,26.9617,51.1481,11.6493,0.0,1013.1625,103741,2.2446,26
Kolkata,303,121.6942,198.7209,71.175,5.1551,21.767,101.513,27.7955,48.4589,10.4625,0.0,1012.4026,526620,6.2702,99
Mumbai,111,60.6361,103.2749,34.2112,2.7719,12.5948,31.817,23.5454,78.5842,22.6675,0.0,1012.5639,490560,5.3515,51
Ludhiana,146,73.5359,130.204,35.2906,1.5955,27.5254,61.8204,24.9993,47.6417,10.1205,0.0,1014.9444,75563,8.0188,68
Chennai,113,35.893,49.238,41.4951,3.0686,11.7345,55.038,25.9099,82.2838,14.9533,16.1381,1006.4988,380253,3.9739,43
Delhi,199,90.4339,157.4011,51.1052,3.1869,24.0334,65.7452,15.1234,56.531,10.8097,0.0,1014.6487,297715,7.0963,90
Rajkot,76,43.8581,63.5439,23.9616,1.2148,13.0679,52.1268,21.4666,47.5791,9.0428,0.0,1008.0504,63500,3.2967,25
Ludhiana,119,66.1717,112.5777,33.7638,1.6986,24.4068,52.7606,19.4091,50.3561,12.3266,0.0,1009.7002,106389,7.7138,54
Agra,98,56.2036,98.7388,33.5795,1.7642,18.5169,79.0969,25.0146,42.7993,6.8051,0.0,1008.8834,89914,4.5229,39
Srinagar,74,39.3381,56.3264,21.6468,1.4449,9.2483,45.7503,19.9766,66.5606,8.5001,0.0,863.116,80880,2.1362,25
Indore,59,32.2051,59.134,15.6455,0.8429,9.3108,23.6636,11.0207,62.7199,13.1082,0.0,1013.1996,55849,2.8356,18
Jaipur,78,36.073,75.786,15.3141,1.179,11.6412,37.464,24.9032,44.3992,11.4301,0.0,1008.983,62527,3.4696,23
Nagpur,81,46.6683,78.7746,28.6235,1.3707,15.4383,49.6449,14.3132,48.5814,9.36,0.0,1010.4225,89731,4.1218,27
Vadodara,83,50.1732,82.2739,27.0722,1.0636,17.0037,55.0623,37.9081,37.098,16.0563,0.0,1011.4351,75232,6.6125,29
Patna,103,56.0146,104.6059,32.3815,1.3642,16.2902,71.6242,25.6605,43.5526,8.124,0.0,1010.2493,84420,4.1076,41
Ahmedabad,98,45.6832,97.5508,28.9826,0.8759,21.9699,37.9308,1.4949,65.0816,10.3283,0.0,1012.6295,45608,6.1268,37
Srinagar,134,70.441,97.7602,36.6753,1.7116,21.1274,63.1511,10.5679,79.8483,5.5152,0.0,859.4774,88392,4.1521,66
Delhi,115,64.6248,118.6685,37.3865,2.6153,16.2198,75.6274,32.9333,43.6194,8.5627,0.0,1010.1929,202605,3.6824,50
Srinagar,57,25.3285,51.3068,15.8752,1.0948,6.1295,47.7221,29.5575,48.4088,9.7311,0.0,859.89,59092,1.3339,15
Chennai,213,93.749,139.8995,50.7634,4.0511,17.7018,59.5588,29.7445,84.8775,14.6255,0.0,1009.1521,476122,6.0108,93
Surat,74,43.918,62.2721,18.9243,0.627,15.7612,30.5425,34.8855,70.836,22.1519,0.0,1010.2312,53217,7.6866,27
Surat,81,46.4037,81.2954,26.0089,0.9471,17.5843,36.4763,24.0172,88.7043,16.6001,0.0,1009.4625,74280,6.744,33
Delhi,214,94.3507,146.7402,48.932,3.5375,19.5676,82.2628,25.2247,37.5438,9.7007,0.0,1013.7063,312245,5.4764,92
Varanasi,78,42.6616,70.9759,23.3038,1.5094,14.847,63.3254,40.7296,39.3607,10.5229,0.0,1010.0642,96873,4.058,24
Vadodara,169,80.3513,125.6667,38.651,1.6918,28.5479,78.0592,36.202,29.8784,10.1885,0.0,1012.3019,94407,7.9138,77
Srinagar,97,46.6794,98.4572,25.9279,1.394,14.3063,46.1879,13.1336,69.7435,7.3546,0.0,862.0776,79438,3.4137,38
Chennai,119,65.594,106.496,42.3291,3.1276,10.9512,47.8124,30.2004,82.5511,16.4309,0.0,1008.6684,431730,4.1578,57
Rajkot,68,32.5963,68.7869,20.2644,1.2358,10.0141,53.9215,31.2087,38.1586,9.868,0.0,1008.299,78902,2.7952,19
Delhi,243,102.3476,164.4064,65.3266,5.3514,11.5322,107.1534,30.6005,41.2177,9.5513,0.0,1008.9193,531835,3.0831,96
Vadodara,117,64.5765,113.7158,34.0893,1.4614,27.7722,47.8798,9.2414,56.5511,9.9239,1.4067,1012.7028,63854,7.8871,52
Bangalore,183,85.3184,146.9836,45.7386,2.7957,21.4678,85.1509,25.1212,43.5732,8.2787,0.0,1009.7002,218921,5.3477,85
Bangalore,108,58.7669,98.9931,33.2917,2.5669,14.2342,36.3459,17.3746,55.4041,19.4326,0.0,1013.0687,356115,5.457,45
Ahmedabad,163,78.8864,151.053,41.7628,1.8882,32.6238,82.1085,25.9031,49.3965,7.2858,0.0,1008.3146,83241,7.9817,77
Varanasi,62,38.6182,58.1257,21.9689,1.1594,9.3878,40.56,21.4297,57.0894,12.4833,0.0,1009.9931,94077,2.9998,21
